ID,活动时间,活动名称,活动职能,表现形式,学科媒介,活动组织类型,系列标签,活动性质1,活动性质2,活动性质3,活动领域,活动主题标签,活动地点,策划人
ID_0930,2015.06.05,AMNUA调研丨西方现代手工艺名人传,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,作者:张盼盼、邵逸云; 作者:邵逸云; 作者:洪月、邵逸云; 作者:倪苗、徐冉
ID_0931,2015.06.06,AMNUA毕业展丨南艺2015三院毕业作品联展•高职学院“呈炫”,展览,线下展览,设计,独立活动,N/A,艺术展览,群展,设计,纯艺术,N/A,N/A,N/A
ID_0932,2015.06.06,AMNUA毕业生丨人文“假行僧”李甦横,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,作者:邢原嘉
ID_0933,N/A,AMNUA毕业展丨南艺传媒+人文+高职三院联展将于2015.06.09上午10点开幕,展览,线下展览,设计,独立活动,N/A,艺术展览,群展,设计,纯艺术,N/A,N/A,N/A
ID_0934,2015.06.07,AMNUA毕业生丨设院图媒练凌飞：如果形式和内容打架，我会帮内容,其他,N/A,影像,独立活动,N/A,其他,N/A,影像,纯艺术,N/A,N/A,N/A
ID_0935,2015.06.08,AMNUA调研丨中国人的生活与设计研究,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,作者:戴茂明; 作者:强瑶; 作者:李思莹; 作者:顾颖; 作者:陈昕; 作者:刘昕
ID_0936,2015.06.08,AMNUA活动丨“如来果”一起玩耍,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,学术报告厅,N/A
ID_0938,2015.06.09,AMNUA公教 | “半夏的纪念”第十三届北京（国际）大学生影像展·南京站,展览,线下展览,影像,独立活动,N/A,艺术展览,N/A,影像,纯艺术,N/A,公共空间,N/A
ID_0939,2015.06.10,AMNUA影像档案丨陆扬：善恶彼岸的影像,其他,N/A,影像,系列活动,影像档案,其他,N/A,影像,纯艺术,N/A,影像空间 (自动填充),作者:郑闻
ID_0940,2015.06.10,AMNUA调研丨地域性设计与中西设计比较研究,其他,N/A,水墨,独立活动,N/A,其他,N/A,水墨,纯艺术,N/A,N/A,作者:过麒天; 作者:张艺婷; 作者:徐帆; 作者:罗辛; 作者:徐艳君
ID_0941,2015.06.11,AMNUA杂谈丨原研哉扑街，MUJI神话毁于美即,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,作者:南美小白
ID_0942,2015.06.11,AMNUA毕业生丨传媒广编石林：多拍多写多谈恋爱,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,N/A
ID_0943,2015.06.11,AMNUA公教丨“半夏的纪念”大学生影像展•南艺站展映片单推荐,展览,线下展览,影像,独立活动,N/A,艺术展览,N/A,影像,纯艺术,N/A,N/A,作者:侯祖辛学校：南加州大学; 作者:侯祖辛; 作者:颜何/翠西; 作者:陈一线; 作者:韩帅; 作者:李鹏飞; 作者:白雨、赵瑞麟; 作者:张学娜; 作者:相华; 作者:董偲遇; 作者:宋林国; 作者:康兆伟、刘熙瑶
ID_0944,2015.06.12,AMNUA资讯丨本馆策展人林书传方案《亚自由》入选上海PSA“2015青年策展人计划”,展览,线下展览,剧场,独立活动,N/A,艺术展览,N/A,剧场,纯艺术,N/A,N/A,N/A
ID_0945,2015.06.12,AMNUA调研丨广告策划：调研、分析与洞见,其他,N/A,设计,独立活动,N/A,其他,N/A,设计,纯艺术,N/A,N/A,策划:调研、分析与洞见.md; 策划:调研、分析与洞见; 作者:黄博聪; 作者:滕腾; 作者:黄若妍; 作者:吴静塔娜; 作者:陶晨; 作者:王熠
ID_0946,2015.06.13,AMNUA资讯丨毕业展期间，小朋友观众超八千人次，家长表示“给小孩开拓视野”,展览,线下展览,设计,独立活动,N/A,艺术展览,N/A,设计,纯艺术,N/A,N/A,N/A
ID_0947,2015.06.13,AMNUA毕业季丨栾承素：南艺书画修复继承了“苏裱”的规范,其他,N/A,综合,独立活动,N/A,其他,N/A,综合,跨学科/泛文化,N/A,N/A,N/A
ID_0948,2015.06.14,AMNUA讨论丨儿童该不该进入美术馆？公共教育&amp;保护展品的两难,展览,线下展览,音乐,独立活动,N/A,艺术展览,N/A,音乐,纯艺术,N/A,N/A,N/A
